type,year,quarter,category,count,amount,brand,percentage
user,,,,174216,,Motorola,0.0118755626229795
user,,,,149907,,Huawei,0.0102185216405094
user,,,,835226,,Others,0.0569337986599433
user,,,,3834323,,Vivo,0.2436659652804614
user,,,,3362430,,Xiaomi,0.2136778126511464
user,,,,3154317,,Samsung,0.2004525170690025
user,,,,2364362,,Oppo,0.1502519607770243
user,,,,790357,,Realme,0.0502261028403631
user,,,,529166,,Apple,0.0336277731906259
user,,,,293085,,OnePlus,0.0186251495855263
user,,,,218253,,Lenovo,0.0138696786682698
user,,,,173429,,Motorola,0.0110211749747283
user,,,,146703,,Huawei,0.0093227743475287
user,,,,869556,,Others,0.0552590906153229
user,,,,4261214,,Vivo,0.2514471054380244
user,,,,3544088,,Xiaomi,0.2091307005509784
user,,,,3267319,,Samsung,0.1927990251352456
user,,,,2580826,,Oppo,0.1522902223026571
user,,,,932371,,Realme,0.0550176520457213
user,,,,569577,,Apple,0.0336097853743261
user,,,,345805,,OnePlus,0.0204053742187076
user,,,,210237,,Lenovo,0.0124057334613971
user,,,,172358,,Motorola,0.0101705570757739
user,,,,161791,,Tecno,0.0095470160935178
user,,,,901175,,Others,0.0531768283036504
user,,,,4645259,,Vivo,0.2560895047141271
user,,,,3700589,,Xiaomi,0.2040105845896961
user,,,,3390165,,Samsung,0.1868971516441104
user,,,,2791203,,Oppo,0.1538768438587785
user,,,,1116664,,Realme,0.0615608151649016
user,,,,635160,,Apple,0.0350158752857967
user,,,,397948,,OnePlus,0.021938562784546
user,,,,199946,,Lenovo,0.0110228669939761
user,,,,187064,,Tecno,0.0103126923837494
user,,,,174499,,Motorola,0.009619993736218
user,,,,900704,,Others,0.0496551088440995
user,,,,4996272,,Vivo,0.259340283786706
user,,,,3842766,,Xiaomi,0.1994655264897317
user,,,,3511762,,Samsung,0.1822841818202392
user,,,,2996365,,Oppo,0.1555315942423777
user,,,,1272108,,Realme,0.0660310026610518
user,,,,693504,,Apple,0.0359975446026989
user,,,,441053,,OnePlus,0.0228936315286633
user,,,,223305,,Tecno,0.0115910386926473
user,,,,203354,,Lenovo,0.010555446955082
user,,,,174739,,Motorola,0.0090701350624235
user,,,,910086,,Others,0.0472396141583781
user,,,,444407,,Xiaomi,0.2405636809777428
user,,,,394835,,Samsung,0.213729668927013
